time;AT;BE;BG;CH;CZ;DE;DK;EE;ES;FI;FR;HR;HU;IE;IT;LT;LU;LV;ME;MK;NL;NO;PL;PT;RO;RS;SE;SI;SK;UK
01.01.2015 23:00;5533.1;9489.2025;4544;7213.41;5919.82;44460.485;3212.1;745.7;24298;8956.3;67584;1818;3755.9625;2898.65;21568;960;391;618;471.36;1146;8995.3725;14681.08;13720.8;5522.4;6228;5945;14199;1061.36;2715;28521.5
02.01.2015 00:00;5205.3;9001.19;4356;7078.83;5963.14;42670.545;2996.22;717.5;21881;8721.2;65510;1666;3631.91;2738.62;19764;925;362.5;589;432.85;1146;8302.8875;14289.64;13258.48;5014.1;6228;5614;13922;1012.43;2618;25939.5
02.01.2015 01:00;4971.1;8571.0725;4317;7053.92;5890.23;41735.4175;2942.88;708.2;20495;8662.4;64522;1567;3426.2625;2475.61;18755;914;345.25;577;402.89;1146;7876.09;14119.56;13010.58;4617.6;6228;5287;13647;987.52;2576;25115.5
02.01.2015 02:00;4669;8321.0625;4315;7193.99;5742.16;41656.9575;2944.18;711.2;19730;8739.3;61798;1533;3327.855;2288.43;18412;914;336.75;577;384.01;1146;7700.105;13966.28;13006.9;4338.6;6228;5042;13596;995.53;2575;23420.5
02.01.2015 03:00;4755.6;8276.5225;4350;7121.27;5759.39;42468.365;3019.46;735.7;19500;9005.8;60686;1543;3359.7625;2180.515;18558;951;337.5;598;371.98;1146;7771.4;14023.02;13241.45;4192.2;6228;4912;13798;1013.85;2629;23055.5
02.01.2015 04:00;5080.5;8516.76;4444;6981.84;5976.91;43863.8775;3104.17;792;20113;9607.8;62060;1634;3548.935;2123.905;19810;1061;355.5;647;372.28;1146;8254.5025;14464.79;13985.83;4132.6;6228;4827;14423;1075.79;2732;22099.5
02.01.2015 05:00;5421.5;8999.8975;4682;6792.12;6394.58;46318.5525;3523.94;864.6;22153;10012;64662;1861;3839.905;2143.265;22878;1176;340.75;709;384.97;1146;9355.47;15195.3;15719.83;4183.2;6228;4996;15552;1189.06;2916;22444.5
02.01.2015 06:00;5855.6;9226.4125;5118;6794.98;6707.46;50579.3;3868.58;864.6;22153;10333;66982;2021;4089.3725;2231.17;26190;1267;395.25;779;405.54;1146;10990.115;16243.79;16899.63;4387.7;6228;5174;16617;1281.45;3021;24538
02.01.2015 07:00;6366;9768.675;5513;6717.16;7028.95;54583.1825;4190.57;864.6;22153;10443;68828;2207;4328.6825;2446.405;29053;1321;429;817;447.89;1146;12458.24;17084.02;17782.8;4627.8;6228;5475;17172;1378.33;3181;26895.5
02.01.2015 08:00;6431.4;10243.35;5653;6854.03;7425.95;57713.0675;4337.33;864.6;22153;10340;70472;2320;4591.955;2674.3;31535;1380;452.5;869;483.02;1146;13445.68;17377.06;18763.35;5038.4;6228;5793;17279;1438.05;3311;29088.5
02.01.2015 09:00;6699.3;10556.685;5704;7127.69;7755.33;59730.96;4515.6;1032.2;32383;10288;71681;2328;4737.365;2895.945;31804;1414;468.75;900;497.86;1146;14038.2075;17721.6;19358.03;5716.4;6228;5970;17515;1438.52;3385;31813.5
02.01.2015 10:00;6542.8;10780.5325;5612;7225.96;7926.18;61311.425;4523.41;1032.2;32358;10266;72248;2320;4839.4125;3168.92;31496;1432;501;903;497.8;1146;14021.3825;17850.66;19743.78;6053.2;6228;5988;17783;1440.37;3417;33784
02.01.2015 11:00;6310.5;10769.8675;5461;7134.03;7971.82;61503.68;4474.24;1032.2;32358;10329;73443;2299;4889.59;3333.28;30827;1430;490.5;911;486.37;1146;13812.7025;17973.36;20030.83;6210;6228;5929;17808;1418.31;3320;34982
02.01.2015 12:00;6257.5;10605.7975;5350;7520.17;8048.68;60480.5775;4449.32;1032.2;32358;10498;71451;2242;4787.7375;3385.66;29624;1426;477.25;914;477.22;1146;13565.615;17857.49;20491.95;6303.4;6228;5852;17661;1434.14;3365;35413.5
02.01.2015 13:00;6306.7;10320.13;5328;7457.11;8051.63;59254.0775;4396.41;1032.2;32358;10748;69123;2186;4740.2675;3380.425;30125;1430;469.75;932;476.53;1146;13542.5175;18009.39;20393.95;6171;6228;5732;17824;1434.04;3379;35102.5
02.01.2015 14:00;6501.7;10225.445;5520;7324.98;8164.08;58552.655;4429.72;1032.2;32358;10945;66628;2164;4758.605;3305.23;31251;1483;454;974;484.14;1146;13899.28;18175.22;20516.4;6085.5;6228;5749;18522;1432.02;3362;34859.5
02.01.2015 15:00;6888.8;10394.4225;5995;7292.8;8131.84;59910.3125;4741.13;1032.2;32358;10903;66234;2328;5056.4575;3298.63;33396;1508;452.25;983;515.6;1146;14181.205;18417.01;21503.98;5973.5;6228;6111;18926;1374.89;3481;35316
02.01.2015 16:00;5972.3;11211.53;6217;7518.95;8154.23;62960.1775;5178.7;1032.2;32358;10911;69985;2570;5140.11;3493.75;38291;1479;491.25;967;547.67;1146;15086.2625;18334.78;21448.8;5991.9;6228;6345;18925;1425.28;3531;37587.5
02.01.2015 17:00;5891.9;11428.6475;6099;8018.46;8009.76;63258.9325;5091.42;1032.2;32358;10843;73818;2572;5065.255;3985.48;38662;1434;506;936;549.76;1146;14340.9225;18172.61;21109.58;6575;6228;6334;18676;1434.45;3480;41616
02.01.2015 18:00;5807.3;11056.5925;5905;8081.65;7856.46;61548.99;4725.76;1021.6;32358;10843;73971;2553;5008.06;4026.59;38219;1386;483;912;546.73;1146;13903.9825;18061.35;20924.3;7221.5;6228;6341;18235;1438.18;3401;42094
02.01.2015 19:00;5313.1;10515.9725;5662;7840.73;7645.98;57719.5;4319.18;977.5;33955;10231;70938;2464;4848.02;3845.185;35572;1323;451.75;869;537.4;1146;13403.1325;17734.67;20286.18;7404.6;6228;6240;17692;1391.06;3335;41100.5
02.01.2015 20:00;5378.9;9993.43;5575;7502.07;7280.81;55208.035;4131.82;922.1;33851;10306;67746;2489;4681.545;3609.335;32695;1221;418.25;804;524.35;1146;12632.04;17169.11;19113.53;7318.9;6228;6120;17065;1409.64;3207;38712.5
02.01.2015 21:00;5325.3;10362.4225;5356;7362.52;6916.77;53548.5275;3823.52;866.3;32324;10105;68455;2364;4455.9225;3421.155;29068;1129;482;736;502.57;1146;11720.2625;16700.87;17908.1;7065.4;6228;6092;16371;1322.33;3088;35681.5
02.01.2015 22:00;5145.1;10440.005;4910;7381.99;6581.37;47877.3225;3530.62;812.6;29866;9659.9;69539;2110;4241.8325;3167.875;25909;1129;463.25;675;487.09;1146;11179.615;16164.04;16641.7;6690.5;6228;5979;15988;1242.05;2967;33053.5
02.01.2015 23:00;5827.3;9880.21;4573;7099.83;6105.57;44219.0375;3391.71;768.4;27243;9218;66642;1833;3965.2275;3085.51;22906;1129;439;627;459.24;1146;10868.6775;15758.28;15491.38;6095.7;6228;5874;15544;1153.29;2842;30318.5
03.01.2015 00:00;5778.8;9294.705;4388;6924.44;6001.52;41929.16;3277.54;727.5;24723;8972.2;64227;1652;3812.2925;2873.295;20851;1129;409;600;417.64;1146;10500.71;15414.33;14866.75;5449.1;6228;5493;15274;1070.43;2707;27215
03.01.2015 01:00;5467;8900.805;4307;6916.46;6023.81;40539.635;3116.86;728.4;22861;8879.9;62716;1542;3605.7325;2606.9;19712;1129;391;588;383.59;1146;10213.115;15217.85;14559.7;4961.8;6228;5110;15464;1065.42;2633;25886
03.01.2015 02:00;5201.4;8550.545;4251;6981.84;5965.41;40216.735;3041.39;726;21963;8847.4;59396;1490;3499.84;2422.6;19264;1129;382;586;365.79;1146;10046.6425;15166.04;14399.3;4600.9;6228;4844;15625;1018.16;2645;23374.5
03.01.2015 03:00;5244.5;8535.58;4257;6918.21;5995.28;40511.6975;3015.66;741.3;21540;8922.2;57700;1496;3514.8625;2279.79;19298;1129;378;606;354.64;1146;9840.32;15161.66;14584.08;4424.1;6228;4710;15600;1046.01;2649;22207
03.01.2015 04:00;5404.6;8619.2875;4332;6757.45;5976.01;40922.08;3078.47;785.9;21642;9220.2;58131;1565;3657.09;2196.9;20192;1129;380.5;641;355.52;1146;10137.1975;15242.05;14754.5;4333.2;6228;4715;15432;1091.91;2688;21086.5
03.01.2015 05:00;5402.1;8921.48;4541;6851.71;6197.56;42200.1;3322.07;827.2;22434;9311.6;59493;1731;3888.1325;2157.97;22529;1129;340.5;689;371.22;1146;10463.2275;15556.27;15689.43;4341.4;6228;4898;15933;1213.79;2789;20929.5
03.01.2015 06:00;5552.8;9009.8425;4988;6899.8;6370;44595.275;3636.03;873.9;23787;9591.3;60986;1819;4067.4125;2232.755;25195;1129;356.5;748;400.39;1146;11021.8125;15927.65;16285.25;4429;6228;5094;16350;1293.94;2845;22101.5
03.01.2015 07:00;5475.9;9605.4825;5295;6888.71;6558.46;47848.4375;3888.58;912;25305;9662.6;62703;2002;4281.785;2364.965;27383;1129;372.5;794;445.71;1146;11917.87;16506.57;17005.98;4477.9;6228;5445;16789;1430.46;2985;25447.5
03.01.2015 08:00;5612.1;10117.205;5388;6982.96;7032.48;51334.73;4062.27;960.2;27745;9741.6;64814;2131;4514.235;2510.26;29452;1129;390.75;841;475.62;1146;12980.185;17247.61;18138.15;4704.1;6228;5732;17252;1494.59;3193;28303
03.01.2015 09:00;5660.3;10705.1275;5357;7245.94;7389.51;53979.93;4177.13;993.4;30101;9850.4;66427;2172;4638.6225;2741.115;29664;1129;417.5;870;483.85;1146;13670.38;17826.44;18846.65;5244.7;6228;5838;17777;1544.61;3255;31908
03.01.2015 10:00;5663.3;11067.94;5269;7361.75;7492.89;56019.3625;4136.56;1011.6;30495;9907.5;67027;2173;4737.725;3016.365;28845;1129;463;873;480.63;1146;14458.275;18018.5;19193.75;5565.7;6228;5797;18011;1522.65;3323;35413
03.01.2015 11:00;5304.6;11127.9925;5106;7420.57;7573.28;56022.325;4073.81;1023.5;29893;9979;68498;2138;4788.1125;3177.45;27936;1129;471.5;873;470.23;1146;14821.025;18065.65;19228.25;5697.4;6228;5769;17842;1508.28;3297;37250.5
03.01.2015 12:00;4932.2;11004.435;5026;7538.42;7625.24;55898.39;4048.1;1031.2;29659;10033;66851;2071;4679.3725;3273.285;27154;1129;457.25;872;462.12;1146;14855.69;17926.31;19455.45;5783.7;6228;5692;17741;1457.81;3272;38118.5
03.01.2015 13:00;4705.7;10815.8025;5045;7718.34;7601.25;54996.045;3986.69;1060.4;29268;10445;64325;2013;4636.2725;3284.355;27167;1129;444.25;878;457.09;1146;15101.29;17935.58;19216.58;5692.8;6228;5591;17925;1420.79;3191;37646.5
03.01.2015 14:00;4832.8;10833.8225;5249;7810.84;7643.31;54869.5875;3967.88;1119.1;28375;10853;61852;2011;4663.0925;3222.16;28009;1129;435.75;942;465.13;1146;15457.4025;18097.12;19568.15;5591.2;6228;5685;18430;1415.36;3226;36531
03.01.2015 15:00;5123.5;11071.895;5789;7986.84;7872.7;57121.785;4337.85;1126.6;27840;10955;60906;2204;4993.3375;3194.545;30099;1129;423.25;968;500.77;1146;15728.345;18551.68;20674.05;5505.7;6228;6141;19134;1362.61;3404;35922
03.01.2015 16:00;6064.4;11514.88;5972;8025.38;7827.85;60276.7675;4825.59;1112.5;28102;11077;63367;2432;5067.1225;3346.895;34795;1129;448.5;961;536.63;1146;16126.8625;18625.01;20548.28;5466.9;6228;6366;19252;1415.92;3431;37617
03.01.2015 17:00;5937.4;11502.7925;5916;8167.73;7752.22;60626.8775;4751.57;1086;30973;10995;66458;2426;4988.585;3874.07;35872;1129;460.25;926;537.71;1146;15663.475;18639.21;20469.95;6127.1;6228;6391;18865;1423.41;3385;41343.5
03.01.2015 18:00;5766.9;11097.99;5650;8106.23;7550.28;59285.1075;4325.66;1054.4;32130;10657;66400;2412;4952.6675;3937.535;35893;1129;442;904;534.41;1146;14800.305;18222.84;20157.95;6961.9;6228;6329;18389;1401.02;3355;42147
03.01.2015 19:00;5697.5;10691.5;5433;7783.76;7343.85;55267.1875;4048.36;1014.4;32763;10238;63519;2351;4808.6775;3748.83;33609;1129;401;866;528.91;1146;13958.64;17775.82;19535.68;7192.4;6228;6261;17744;1394.73;3315;40813.5
03.01.2015 20:00;5328.8;10231.9525;5374;7369.01;6921.65;52721.8475;3792.96;964.8;32875;10420;60554;2361;4653.8725;3548.395;30837;1129;387.5;806;513.07;1146;13257.9875;17414.83;18337.53;7172;6228;6070;17236;1397.56;3198;38365.5
03.01.2015 21:00;5570.5;10425.2;5112;7114.94;6734.35;52364.565;3570.88;912.5;31532;10280;61320;2232;4470.1475;3341.56;27974;1129;469.75;735;488.14;1146;12430.0275;17149.16;17324.4;6864.4;6228;5915;16671;1295.06;3049;35744.5
03.01.2015 22:00;5451.5;10421.2625;4772;7070.08;6409.92;49542.2925;3377.74;857.3;29366;9834.5;62725;2010;4252.27;3114.065;25217;1129;447.75;664;472.85;1146;11603.93;16870.66;16106.93;6543.4;6228;5782;16020;1180.97;2907;32532.5
03.01.2015 23:00;5513.2;9941.07;4452;6924.19;6120.2;46425.87;3186.15;823.8;26818;9413.4;60265;1752;3976.435;3061.965;22558;1129;421.25;630;447.81;1146;11032.9075;16208.36;15072.2;6006.9;6228;5748;15764;1088.1;2833;30200
04.01.2015 00:00;5234.2;9446.74;4286;7017.18;5987.89;42268.4225;3058.45;798.3;24299;9218.8;57658;1578;3851.17;2907.525;20602;1129;399;598;407.12;1146;10512.185;15900.48;14350.25;5390.4;6228;5395;15540;1043.86;2672;30614.5
04.01.2015 01:00;5105.8;9009.935;4220;6968.88;6066.51;40835.03;2963.9;768.3;22546;9097.3;55874;1478;3651.2725;2659.29;19449;1129;381.25;593;369.94;1146;9963.3325;15641.33;13946.2;4887.7;6228;4917;15400;1001.68;2614;26739.5
04.01.2015 02:00;4803.6;8724.785;4176;6819.9;6039.46;40213.7175;2949.49;786.6;21480;9118.3;52581;1434;3518.3775;2448;18871;1129;375.25;599;347.49;1146;9759.4175;15673.46;13792.85;4560.1;6228;4620;15423;996.09;2626;24497.5
04.01.2015 03:00;4797.2;8590.8825;4190;6650.44;6002.41;40328.3325;2961.16;786.1;20937;9173.9;50650;1429;3502.205;2298.565;18726;1129;372.5;608;337.46;1146;9714.955;15650.68;13817.23;4379.5;6228;4541;15514;990.84;2639;23614
04.01.2015 04:00;4867.9;8494.5725;4281;6513.19;5942.26;39899.15;2977.69;808.7;21035;9362.7;50570;1483;3597.2375;2229.265;19122;1129;375.5;643;338.88;1146;9864.99;15901.3;13964.8;4282.1;6228;4467;15574;1051.83;2654;22249
04.01.2015 05:00;5034.8;8625.24;4419;6577.26;6133.26;39316.3075;3115.01;868.9;21476;9385.3;51566;1577;3813.495;2173.06;20289;1129;320.25;691;354.05;1146;10118.815;16195.51;14381.15;4273;6228;4571;15970;1107.37;2733;21693.5
04.01.2015 06:00;5384.6;8762.54;4866;6515.81;6336.43;41820.17;3343.84;907.5;22289;9639.5;52564;1622;3970.6875;2205.365;21600;1129;335.75;742;398.93;1146;10770.345;16514.86;14469.73;4317.7;6228;4782;16569;1200.77;2788;22019
04.01.2015 07:00;5513.3;9054.28;5225;6379.55;6558.13;44653.2625;3643.23;940.5;22929;9725.9;53872;1755;4214.3275;2258.16;23049;1129;342.75;796;446.14;1146;11637.08;16854.59;15067.3;4282.9;6228;5130;17022;1315.43;2936;23183.5
04.01.2015 08:00;5566.7;9586.65;5493;6673.42;7105.16;47858.43;3897.32;982.8;24754;10011;56101;1905;4491.655;2307.035;25376;1129;351.5;857;485.13;1146;12422.615;17332.46;16019.33;4384.1;6228;5448;17753;1416.11;3139;25286.5
04.01.2015 09:00;5618.5;9981.2275;5643;6811.31;7518.65;51218.56;4042.52;1010.9;27027;10233;58463;2002;4674.4075;2454.155;26859;1129;369.75;891;498.12;1146;13199.925;18092.09;16764.95;4855.2;6228;5625;19255;1448.34;3260;28719
04.01.2015 10:00;5621.3;10433.6875;5696;6996.38;7703.44;54499.995;4104.91;1023.4;27933;10348;60123;2014;4796.4525;2740.645;27740;1129;408.25;905;513.99;1146;13474.0975;18160.36;17174.65;5268.5;6228;5693;18139;1478.54;3330;32515.5
04.01.2015 11:00;5540.5;10619.2075;5616;7119.1;7662.01;54814.07;4035.38;1036.7;27648;10320;62579;1987;4786.725;2987.995;27326;1129;409.75;913;506.31;1146;13383.8875;17960.89;17300.2;5567.3;6228;5617;18280;1414.54;3245;34977.5
04.01.2015 12:00;5454.2;10390.905;5533;7122.61;7662.36;53261.575;3959.05;1040.4;27873;10334;60885;1880;4668.95;3188.945;26018;1129;388.25;916;487.72;1146;13589.5425;17818.34;17593.1;5748.6;6228;5575;18252;1328.5;3155;36526.5
04.01.2015 13:00;5162;10139.1275;5574;7090.23;7641.94;51518.6075;3920.59;1067.8;27769;10621;58183;1793;4630.315;3297.405;25049;1129;386.25;928;497.04;1146;13786.465;18036.82;17347.43;5587.9;6228;5528;18506;1282.2;3093;37096
04.01.2015 14:00;5043.6;10001.2275;5744;7044.77;7716.96;51112.275;3974.44;1133.1;26825;11028;56109;1774;4639.6075;3245.415;24868;1129;391.5;988;492.98;1146;13937.995;18560.72;17553.35;5384;6228;5515;19054;1283.82;3118;36786.5
04.01.2015 15:00;5291.6;9949.5075;6236;7074.03;7878.83;53144.1975;4452.74;1144.6;26254;11135;55809;1931;4987.2825;3190.38;25826;1129;396;1018;530.04;1146;13947.3;19142.08;19026.25;5257.8;6228;5899;19934;1361.86;3283;37234.5
04.01.2015 16:00;4946.2;10872.565;6404;7463.1;8095.08;57620.5175;4939.97;1138.6;26508;11111;59859;2209;5177.115;3285.355;30053;1515;447.5;1017;548.11;1146;15050.81;19288.87;19287.33;5255.5;6228;6209;20031;1362.97;3345;39435.5
04.01.2015 17:00;4833.2;11354.7625;6283;8001.37;8090.63;58718.0275;4815.78;1126.2;29232;11071;65218;2238;5139.9775;3741.11;31608;1485;477.5;990;545.17;1146;15182.3425;19142.38;19294.88;5882.3;6228;6228;19988;1361.05;3351;42933
04.01.2015 18:00;5034.7;11330.845;6013;8025.26;7943.93;57271.9975;4470.47;1096.3;30623;10915;66941;2256;5111.7925;3846.66;32356;1436;465.25;963;546.08;1146;15015.38;19087.96;19320.15;6810.7;6228;6281;19536;1409.31;3291;43010.5
04.01.2015 19:00;5066.9;10944.3575;5718;7913.2;7763.43;54702.7775;4139.33;1053.6;31605;10680;65231;2227;4928.2675;3702.82;31312;1359;441.5;920;539.58;1146;14560.76;18740.43;18646.8;7144.8;6228;6169;18795;1520.34;3253;41189
04.01.2015 20:00;4752.6;10534.1425;5496;7601.49;7307.98;53218.3375;3909.8;983.7;32040;10950;62623;2276;4708.5;3551.075;29367;1239;414;841;526.65;1146;14014.905;18431.14;17920.38;7170.8;6228;6091;18106;1446.76;3107;38826
04.01.2015 21:00;5092.2;10645.5225;5228;7412.53;7096.98;53129.5675;3512.29;913;31115;10823;63366;2167;4517.983333;3340.445;27050;1116;480.5;756;506.45;1146;13171.985;17957.87;16953.08;6955.9;6228;6003;17601;1293.59;2988;35844.5
04.01.2015 22:00;5177.3;10668.6275;4730;7284.87;6796.81;50046.0225;3348.25;865.2;28916;10434;64730;1927;4517.983333;3053.695;24216;1026;456;682;478.74;1146;12148.015;17352.43;15826.7;6562.4;6228;5845;16987;1212.59;2855;32036
04.01.2015 23:00;6180.5;10039.53;4494;7019.62;6714.7;46667.87;3190.45;829.1;26019;10116;62610;1679;3959.3325;2904.015;21778;976;437;643;433.33;1146;11476.0075;16702.46;14796.23;5864.9;6228;5703;16654;1136.13;2814;28843
05.01.2015 00:00;6004.8;9665.9175;4337;6970.68;6803.09;44627.0425;3079.55;821;23591;9975.5;61092;1514;3857.655;2700.24;19993;949;413;619;387.63;1146;10889.99;16227.77;14212.15;5303.1;6228;5252;16360;1095.18;2709;31927.5
05.01.2015 01:00;5987;9262.2975;4228;7176.77;6762.05;43635.34;2973.79;806;22089;9889.1;60219;1435;3674.3475;2472.975;19020;938;403;611;361.36;1146;10459.7275;16189.38;14036.88;4831;6228;4871;16203;1055.47;2658;31455.5
05.01.2015 02:00;5758.5;9052.455;4282;7224.08;6622.1;43683.3925;2944.5;813.6;21350;10087;57535;1400;3597.485;2301.925;18676;951;402.5;630;342.22;1146;10373.2975;16133.91;13981.18;4553.7;6228;4627;16202;1086.36;2651;30021.5
05.01.2015 03:00;5692.2;9118.3875;4456;7357.8;6755.88;44969.1725;3001.08;850.5;21054;10494;56891;1414;3724.5425;2252.5;18880;1016;404.75;682;337.13;1146;10550.2825;16306.49;14320.73;4437.2;6228;4481;16423;1096.69;2698;29437.5
05.01.2015 04:00;5978.7;9527.3975;4992;7269.31;7238.31;48336.9675;3311.06;977.5;21533;11322;59823;1513;4156.7425;2272.04;20107;1234;431.75;807;344.41;1146;11097.8375;16851.95;15035.9;4397.6;6228;4653;17033;1248.91;2841;28184.5
05.01.2015 05:00;6252.2;10776.6125;5535;7495.87;8343.26;54206.7375;4047.1;1131.2;23240;11759;66249;1751;4964.8175;2268.215;23220;1440;452.25;970;368.68;1146;13000.4225;18212.13;17081.28;4510.2;6228;5029;18233;1508.54;3078;28529.5
05.01.2015 06:00;6769.8;11968;5932;7926.16;8940.99;60386.7575;4814.13;1240.4;26141;12194;73308;1938;5270.5325;2471.2;26785;1576;534.5;1075;408.17;1146;15443.87;20028.02;18428.8;4896.5;6228;5467;19613;1717.12;3221;32715
05.01.2015 07:00;6832.6;12433.46;6137;8676.64;9080.77;63924.245;5047.54;1276.6;28870;12257;76107;2112;5282.1075;3019.73;30021;1618;572;1122;457.83;1146;17613.48;20770.81;19411.8;5617;6228;5775;20412;1775.04;3354;40032.5
